species,group
Chymomyza-costata-Sapporo,
Drosophila-aff--chauvacae-BK-2020,
Drosophila-ambigua-R42,
Drosophila-americana-15010-0951-00,
Drosophila-ananassae-14024-0371-13,
Drosophila-arawakana-15182-2261-03,
Drosophila-biarmipes-14023-0361-10,
Drosophila-bipectinata-14024-0381-04,
Drosophila-bocqueti-YAK3_mont-66,
Drosophila-cardini-15181-2181-03,
Drosophila-carrolli-KB866,
Drosophila-dunni-15182-2291-00,
Drosophila-elegans-14027-0461-03,
Drosophila-ercepeae-14024-0432-00,
Drosophila-erecta-14021-0224-01,
Drosophila-eugracilis-14026-0451-02,
Drosophila-ficusphila-14025-0441-05,
Drosophila-funebris-fst01,
Drosophila-fuyamai-14029-0011-01,
Drosophila-grimshawi-15287-2541-00,
Drosophila-immigrans-15111-1731.12,
Drosophila-immigrans-kari17,
Drosophila-insularis-jp01i,
Drosophila-jambulina-14028-0671-01,
Drosophila-kikkawai-14028-0561-14,
Drosophila-kurseongensis-SaPa58,
Drosophila-littoralis-1240J8,
Drosophila-malerkotliana-malerkotliana-isolate,
Drosophila-malerkotliana-pallens-isolate,
Drosophila-mauritiana-14021-0241-01,
Drosophila-melanogaster-14021-0231-36,
Drosophila-mojavensis-15081-1352-22,
Drosophila-murphyi-DKPHETFM01,
Drosophila-neocordata-14041-0831-00,
Drosophila-obscura-BZ-5,
Drosophila-oshimai-MT-04,
Drosophila-parabipectinata-par2-isoB,
Drosophila-paulistorum-14030-0771-06,
Drosophila-paulistorum-14030-0771-12,
Drosophila-persimilis-14011-0111-01,
Drosophila-prosaltans-14045-0901-02,
Drosophila-pruinosa-iso-A1,
Drosophila-pseudoananassae-nigrens-isolate,
Drosophila-pseudoananassae-pseudoananassae-isolate,
Drosophila-pseudoobscura-14011-0121-94,
Drosophila-quadrilineata-quad-TMU,
Drosophila-repleta-kari30,
Drosophila-repletoides-ISZ-isoB,
Drosophila-rhopaloa-14029-0021-01,
Drosophila-rufa-EH091,
Drosophila-saltans-14045-0911-00,
Drosophila-sechellia-14021-0248-01,
Drosophila-simulans-14021-0251-006,
Drosophila-sp--14030-0761.01,
Drosophila-sproati-DKPTOMS02,
Drosophila-sp--st01m,
Drosophila-sturtevanti-14043-0871-01,
Drosophila-subobscura-Ksnacht,
Drosophila-subpulchrella-L1,
Drosophila-sucinea-14030-0791-01,
Drosophila-takahashii-IR98-3,
Drosophila-teissieri-273-3,
Drosophila-teissieri-CT02,
Drosophila-triauraria-14028-0691-9,
Drosophila-tristis-Divibare2,
Drosophila-tropicalis-14030-0801-00,
Drosophila-varians-CKM15-L1,
Drosophila-virilis-15010-1051-87,
Drosophila-willistoni-14030-0811-00,
Drosophila-willistoni-14030-0811-17,
Drosophila-yakuba-14021-0261-01,
Leucophenga-varia-nc01v,
Lordiphosa-clarofinis-Guizhou062018LC,
Lordiphosa-collinella-UCKTSapporo052019LC,
Lordiphosa-magnipectinata-UCKTSapporo052019LM,
Lordiphosa-mommai-MMSapporo052014LM,
Lordiphosa-stackelbergi-UCILTSSapporo052019LS,
Scaptomyza-graminum-TMU-2019,
Scaptomyza-hsui-iso-CA-L1,
Scaptomyza-montana-iso-CA-L1,
Scaptomyza-pallida-iso-CA-L1,
Zaprionus-africanus-BS06,
Zaprionus-camerounensis-jd01cam,
Zaprionus-capensis-jd01cap,
Zaprionus-davidi-jd01d,
Zaprionus-gabonicus-jd01gab,
Zaprionus-ghesquierei-jd01ghe,
Zaprionus-indianus-16GNV01,
Zaprionus-indianus-BS02,
Zaprionus-indianus-CDD18,
Zaprionus-indianus-RCR04,
Zaprionus-inermis-18BSZ10,
Zaprionus-kolodkinae-jd01k,
Zaprionus-lachaisei-jd01l,
Zaprionus-nigranus-st01n,
Zaprionus-ornatus-jd01o,
Zaprionus-taronus-st01t,
Zaprionus-tsacasi-car7-4,
Zaprionus-tsacasi-jd01t,
Zaprionus-vittiger-jd01v,
